name,M_Msun,a_star,lambda_Edd,sigma_kms,Re_kpc,t_g_s,r_s_km,f_ISCO_Schw_Hz,fISCO_tg_invariant,Class,Spin_Known,Regime,r_ISCO_rg,f_ISCO_Kerr_Hz,f_ratio,Name,Mass_Msun,Spin_a,Grav_Time_tg_s,Schwarzschild_Rad_km,Orbital_Period_s,Invariant_fISCO_tg,rinfl_pc,rinfl_over_Re,t_fb_days,tde_possible
NGC 1277,17000000000.0,0.5,0.0,,,83735.87819733766,50206769495.13693,1.2932475866361572e-07,0.010829122239356614,Ultramassive,Yes,Relic Galaxy,4.233002529530826,2.0639150703381207e-07,1.5959164290470726,NGC 1277,17000000000.0,0.5,83735.87819733766,50206769495.13693,4845160.609424569,0.010829122239356614,,,5345.7459722661715,False
OJ 287,18000000000.0,0.3,0.0,,,88661.5180912987,53160108877.20381,1.221400498489704e-07,0.010829122239356614,Ultramassive,Yes,Binary Primary,4.97861683057595,1.5734356555336355e-07,1.2882225424659912,OJ 287,18000000000.0,0.3,88661.5180912987,53160108877.20381,6355518.870333767,0.010829122239356614,,,5500.727224649482,False
NGC 4889,21000000000.0,0.5,0.0,,,103438.43777318182,62020127023.40444,1.0469147129911748e-07,0.010829122239356614,Ultramassive,Yes,Coma Cluster,4.233002529530826,1.6707883902737167e-07,1.5959164290470726,NGC 4889,21000000000.0,0.5,103438.43777318182,62020127023.40444,5985198.3998774085,0.010829122239356614,,,5941.46446593767,False
APM 08279,23000000000.0,0.99,0.0,,,113289.7175611039,67926805787.53821,9.558786509919422e-08,0.010829122239356614,Ultramassive,Yes,Lensed Quasar,1.4544979380596716,5.119410007983894e-07,5.35571121153437,APM 08279,23000000000.0,0.99,113289.7175611039,67926805787.53821,1953350.090030816,0.010829122239356614,,,6217.9578641222715,False
H1821+643,30000000000.0,0.62,0.0,,,147769.19681883117,88600181462.00635,7.328402990938223e-08,0.010829122239356613,Ultramassive,Yes,Cluster Quasar,3.744849089699479,1.3690941475596255e-07,1.868202593733654,H1821+643,30000000000.0,0.62,147769.19681883117,88600181462.00635,7304099.588640225,0.010829122239356613,,,7101.408311032396,False
J2157,34000000000.0,0.95,0.0,,,167471.75639467532,100413538990.27386,6.466237933180786e-08,0.010829122239356614,Ultramassive,Yes,Fast Grower,1.9372378781396624,2.6062829462503565e-07,4.030601677795528,J2157,34000000000.0,0.95,167471.75639467532,100413538990.27386,3836881.9526624843,0.010829122239356614,,,7560.026454980168,False
Holmberg 15A,40000000000.0,0.0,0.0,,,197025.59575844154,118133575282.67514,5.496302243203667e-08,0.010829122239356613,Ultramassive,Placeholder,Core Scoured,6.0,5.4963022432036666e-08,0.9999999999999999,Holmberg 15A,40000000000.0,0.0,197025.59575844154,118133575282.67514,18194050.39518211,0.010829122239356613,,,8200.0,False
S5 0014+81,40000000000.0,0.9,0.0,,,197025.59575844154,118133575282.67514,5.496302243203667e-08,0.010829122239356613,Ultramassive,Yes,High-z Blazar,2.320883041761887,1.8210914273398808e-07,3.313302920325591,S5 0014+81,40000000000.0,0.9,197025.59575844154,118133575282.67514,5491212.494809928,0.010829122239356613,,,8200.0,False
4C +74.13,50000000000.0,0.5,0.0,,,246281.99469805195,147666969103.3439,4.3970417945629336e-08,0.010829122239356613,Ultramassive,Yes,Restarted Jet,4.233002529530826,7.01731123914961e-08,1.5959164290470729,4C +74.13,50000000000.0,0.5,246281.99469805195,147666969103.3439,14250472.380660497,0.010829122239356613,,,9167.878707749138,False
IC 1101,50000000000.0,0.0,0.0,,,246281.99469805195,147666969103.3439,4.3970417945629336e-08,0.010829122239356613,Ultramassive,Placeholder,Largest Galaxy,6.0,4.397041794562933e-08,0.9999999999999999,IC 1101,50000000000.0,0.0,246281.99469805195,147666969103.3439,22742562.993977644,0.010829122239356613,,,9167.878707749138,False
TON 618,66000000000.0,0.9,0.0,,,325092.2330014286,194920399216.414,3.331092268608283e-08,0.010829122239356614,Ultramassive,Yes,Standard Giant,2.320883041761887,1.1036917741453824e-07,3.3133029203255915,TON 618,66000000000.0,0.9,325092.2330014286,194920399216.414,9060500.61643638,0.010829122239356614,,,10533.090714505406,False
Phoenix A,100000000000.0,0.0,0.0,,,492563.9893961039,295333938206.6878,2.1985208972814668e-08,0.010829122239356613,Ultramassive,Placeholder,The Limit,6.0,2.1985208972814665e-08,0.9999999999999999,Phoenix A,100000000000.0,0.0,492563.9893961039,295333938206.6878,45485125.98795529,0.010829122239356613,,,12965.338406690356,False
